               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071726,            0.032601,            0.031419,             0.24765,              0.5231,             0.31838,             0.16259,            0.033202,            0.014636,            0.018312,            0.070096,           0.0033226,           0.0033226
                   1,            0.047777,            0.023884,            0.017632,             0.47218,             0.70435,             0.57933,             0.32347,            0.031327,            0.012195,            0.010043,            0.039438,            0.005997,            0.005997
                   2,            0.043378,            0.020889,              0.0116,             0.84278,             0.84679,              0.9133,             0.56633,            0.024433,            0.010451,           0.0042127,           0.0081186,           0.0080114,           0.0080114
                   3,            0.039218,            0.019603,           0.0092149,             0.88151,             0.94777,             0.96034,             0.61116,            0.025887,           0.0094083,           0.0016967,             0.00703,             0.00703,             0.00703
                   4,            0.035745,            0.018871,           0.0071699,              0.9722,             0.94639,             0.97995,             0.67361,            0.022496,           0.0089448,           0.0017987,             0.00703,             0.00703,             0.00703
                   5,            0.033346,            0.017431,           0.0057525,             0.96236,             0.96863,             0.98746,             0.69456,            0.021334,           0.0085201,           0.0010075,             0.00604,             0.00604,             0.00604
                   6,            0.030567,            0.016983,           0.0052166,              0.9748,             0.97144,             0.98926,             0.72476,            0.019156,           0.0083496,          0.00090236,             0.00505,             0.00505,             0.00505
                   7,            0.029059,            0.016625,           0.0043551,             0.98668,              0.9876,             0.99354,             0.73989,            0.018315,           0.0078592,          0.00056649,             0.00406,             0.00406,             0.00406
                   8,            0.027641,            0.016067,           0.0035723,             0.97572,             0.98573,             0.99323,             0.76111,            0.017943,           0.0076983,          0.00053389,             0.00307,             0.00307,             0.00307
                   9,            0.025707,            0.015615,           0.0028318,             0.98929,             0.98284,             0.99398,             0.74552,            0.018057,           0.0077405,          0.00027796,             0.00208,             0.00208,             0.00208
